Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
250,0,7200.0,14999.0,51.99679979,4.0,6.0,25,5,2,11,1,3.5,1,26,0
252,9,16990.0,20990.0,19.05669366,4.4,90.0,228,5,11,11,1,17.5,1,10,0
253,9,39490.0,7999.0,54.556201075,5.0,6.0,87,0,11,11,0,8.0,1,10,0
254,9,33490.0,7999.0,54.556201075,4.7,1014.0,225,5,2,11,1,17.5,1,11,0
255,9,24990.0,36490.0,31.51548369,4.4,43.0,86,0,23,11,0,22.0,1,9,0
260,9,20990.0,7999.0,54.556201075,4.2,61.0,88,0,3,11,0,22.0,1,7,0
264,9,22990.0,31490.0,26.99269609,4.1,20.0,156,0,2,11,0,8.0,1,6,0
265,9,33490.0,36990.0,9.462016761,4.6,5.0,152,0,2,11,0,17.5,1,6,0
267,9,27990.0,7999.0,54.556201075,5.0,3.0,226,5,11,10,1,17.5,1,11,0
268,9,20490.0,7999.0,54.556201075,5.0,3.0,240,0,4,11,0,3.5,1,18,0
273,9,33490.0,39490.0,15.19371993,4.7,109.0,155,0,23,11,0,17.5,0,5,0
274,9,20990.0,25990.0,19.23816853,3.4,7.0,227,5,3,11,1,17.5,1,10,0
281,9,27990.0,39990.0,30.00750188,3.7,10.0,229,0,3,11,1,3.5,1,9,0
282,13,18990.0,29990.0,36.67889296,4.3,189.0,98,0,2,3,1,8.0,1,11,3
283,13,14990.0,20990.0,28.5850405,4.5,3228.0,268,0,2,3,1,8.0,1,15,0
284,13,15990.0,20990.0,23.82086708,4.4,399.0,271,0,17,11,1,8.0,1,15,0
285,13,14990.0,19990.0,25.01250625,4.7,1014.0,267,0,2,3,1,22.0,1,14,4
286,13,29999.0,7999.0,54.556201075,3.8,5.0,247,0,2,11,1,17.5,1,9,0
287,13,25999.0,7999.0,54.556201075,3.9,21.0,246,0,2,4,1,17.5,1,9,0
288,13,6999.0,9999.0,30.0030003,3.3,20.0,75,0,17,11,1,17.5,1,9,0
289,13,10990.0,20990.0,47.64173416,4.5,203.0,273,0,2,11,1,8.0,1,15,3
290,13,10990.0,21990.0,50.02273761,4.5,93.0,272,0,4,4,1,8.0,1,15,3
291,13,8990.0,19990.0,55.02751376,4.3,1269.0,270,0,23,14,1,8.0,1,11,0
292,13,11990.0,19990.0,40.02001001,4.3,1269.0,269,0,10,14,1,8.0,1,11,0
294,8,23995.0,7999.0,54.556201075,4.2,343.0,128,0,22,11,1,17.5,1,10,0
295,8,18495.0,7999.0,54.556201075,3.8,172.0,127,0,2,12,1,22.0,1,14,0
297,8,17995.0,7999.0,54.556201075,3.9,46.0,211,0,16,11,1,17.5,1,9,0
299,8,9995.0,14995.0,33.34444815,3.9,57.0,69,0,2,11,0,22.0,1,8,0
300,8,14995.0,22995.0,34.79017178,4.0,4483.0,220,0,11,12,1,17.5,1,10,0
301,8,13195.0,21995.0,40.00909298,3.9,510.0,1,0,8,12,1,22.0,1,13,0
302,8,9995.0,17995.0,44.45679355,4.0,1532.0,210,0,3,11,1,3.5,1,9,0
303,8,9198.0,22995.0,60.0,4.3,283.0,159,0,1,4,1,17.5,1,10,0
304,8,13495.0,7999.0,54.556201075,4.7,1014.0,158,0,2,12,0,17.5,1,10,0
305,8,17995.0,7999.0,54.556201075,4.0,599.0,209,0,3,11,1,22.0,1,9,0
307,8,19995.0,7999.0,54.556201075,3.1,28.0,68,0,4,4,1,22.0,1,11,0
308,8,19995.0,7999.0,54.556201075,4.4,69.0,190,0,2,4,1,22.0,1,14,0
309,8,11995.0,7999.0,54.556201075,4.3,4.0,48,0,2,4,0,17.5,1,14,0
310,8,14995.0,7999.0,54.556201075,3.9,41.0,34,0,2,4,0,3.5,1,9,3
311,8,16495.0,7999.0,54.556201075,4.1,123.0,35,0,11,12,0,3.5,1,8,0
313,8,9995.0,16495.0,39.40588057,3.8,144.0,64,0,2,12,1,3.5,1,8,0
314,8,13995.0,7999.0,54.556201075,3.8,4.0,67,0,3,12,0,22.0,1,14,0
316,8,13495.0,7999.0,54.556201075,4.7,3.0,173,0,3,12,0,17.5,1,10,0
317,8,10998.0,21995.0,49.99772676,3.9,5182.0,0,0,2,11,1,22.0,1,15,0
318,5,1299.0,5499.0,76.37752319,4.0,1598.0,259,4,11,11,1,8.0,1,15,0
319,5,1799.0,4999.0,64.01280256,4.2,34953.0,257,4,2,11,1,8.0,1,15,3
320,5,3299.0,5999.0,45.00750125,4.0,28926.0,277,0,2,11,1,22.0,1,10,0
321,5,1999.0,5999.0,66.67777963,4.1,561.0,261,4,2,11,1,22.0,1,16,0
323,5,1199.0,3499.0,65.73306659,4.2,62964.0,249,5,3,11,1,22.0,1,14,0
324,5,4499.0,6999.0,35.71938848,4.2,6385.0,279,0,11,11,1,22.0,1,10,3
325,5,3499.0,5999.0,41.67361227,4.2,1785.0,260,4,11,11,1,22.0,1,15,3
